Latitude UTM (m),Longitude UTM (m)
431888,2975479
431894,2975473
431900,2975467
431905,2975461
431911,2975453
431917,2975445
431923,2975437
431924,2975428
431926,2975420
431928,2975412
431927,2975403
431927,2975393
431927,2975384
431927,2975375
431926,2975365
431925,2975355
431924,2975344
431923,2975332
431919,2975322
431914,2975311
431908,2975304
431902,2975297
431896,2975291
431894,2975286
431892,2975283
431888,2975276
431884,2975268
431880,2975260
431876,2975253
431872,2975245
431868,2975238
431864,2975230
431858,2975224
431852,2975217
431847,2975211
431841,2975205
431835,2975198
431830,2975192
431824,2975185
431819,2975178
431813,2975171
431807,2975164
431802,2975157
431796,2975150
431790,2975145
431783,2975139
431776,2975133
431770,2975127
431763,2975122
431758,2975115
431752,2975108
431747,2975101
431742,2975093
431738,2975083
431734,2975072
431730,2975063
431726,2975055
431722,2975047
431719,2975037
431716,2975026
431713,2975016
431714,2975007
431714,2974998
431714,2974989
431717,2974980
431721,2974970
431724,2974962
431728,2974954
431729,2974952
431733,2974948
431743,2974944
431753,2974941
431762,2974942
431774,2974945
431785,2974947
431793,2974950
431801,2974953
431810,2974956
431818,2974959
431826,2974961
431833,2974963
431841,2974965
431849,2974968
431857,2974970
431866,2974973
431874,2974976
431883,2974979
431892,2974981
431900,2974984
431908,2974990
431916,2974995
431921,2975001
431927,2975007
431933,2975012
431939,2975018
431946,2975024
431952,2975030
431960,2975033
431967,2975036
431975,2975038
431983,2975042
431990,2975045
431998,2975048
432006,2975051
432014,2975052
432022,2975054
432030,2975055
432038,2975057
432048,2975057
432057,2975058
432066,2975059
432076,2975060
432085,2975060
432094,2975061
432103,2975062
432111,2975063
432119,2975065
432127,2975066
432135,2975067
432143,2975068
432151,2975069
432160,2975071
432169,2975073
432179,2975075
432188,2975077
432197,2975079
432206,2975081
432214,2975084
432223,2975087
432231,2975091
432239,2975094
432248,2975097
432256,2975101
432264,2975104
432269,2975106
432272,2975107
432281,2975109
432289,2975110
432297,2975112
432305,2975114
